Ligando,Pose,Vina_score,Intramol,CNNscore,CNNaffinity
ligando_510,1,-3.07,0.18,0.2179,5.943
ligando_511,1,-8.04,0.88,0.4673,6.507
ligando_512,1,-9.81,-0.29,0.3254,5.759
ligando_513,1,-8.45,-0.08,0.3589,5.203
ligando_514,1,-7.54,0.06,0.3423,5.502
ligando_515,1,-7.09,-0.42,0.777,5.48
ligando_516,1,-7.25,-1.12,0.1632,5.345
ligando_517,1,-8.99,-0.23,0.2994,6.422
ligando_518,1,-1.06,0.03,0.612,6.106
ligando_519,1,-7.28,0.9,0.5531,6.79
ligando_520,1,-11.25,-0.58,0.6745,6.343
ligando_521,1,-8.54,-0.2,0.4841,6.405
ligando_522,1,-8.46,0.74,0.3439,6.975
ligando_523,1,-9.31,-0.63,0.4604,6.424
ligando_524,1,-0.43,0.83,0.0709,6.252
ligando_525,1,-6.7,-0.55,0.2996,6.104
ligando_526,1,-6.86,0.71,0.7052,6.64
ligando_527,1,-7.36,1.27,0.1917,5.706
ligando_528,1,-9.13,-0.67,0.4154,5.138
ligando_529,1,-9.65,-0.93,0.2324,6.091
ligando_530,2,-7.99,-0.31,0.2485,6.358
ligando_531,1,-9.1,-0.42,0.3878,6.524
ligando_532,1,-8.72,-0.38,0.3515,5.056
ligando_533,1,-10.26,-0.08,0.3733,6.452
ligando_534,1,-8.02,-0.18,0.1873,5.385
ligando_535,1,-7.16,-0.36,0.3935,5.349
ligando_536,1,-6.95,-0.31,0.1481,6.246
ligando_537,1,-8.25,-1.45,0.4916,6.07
ligando_538,1,-9.89,2.08,0.413,6.912
ligando_539,1,-12.06,1.31,0.6792,7.244
ligando_540,1,-10.41,1.16,0.5508,6.797
ligando_541,1,-8.66,2.18,0.4238,6.873
ligando_542,1,-6.3,-0.24,0.4394,5.455
ligando_543,1,-8.32,0.8,0.6289,6.817
ligando_544,1,-8.7,0.58,0.5936,7.3
ligando_545,1,-1.77,0.45,0.6531,7.689
ligando_546,1,-10.51,-0.14,0.4972,6.353
ligando_547,1,-8.27,-0.06,0.6598,5.612
ligando_548,1,-10.7,1.01,0.6057,7.282
ligando_549,1,-8.3,-0.22,0.2284,6.658
ligando_550,1,-9.78,0.01,0.2867,5.966
ligando_551,1,-5.13,-0.31,0.6617,5.718
ligando_552,3,-10.01,0.23,0.3028,6.514
ligando_553,1,-8.3,-0.33,0.1422,5.366
ligando_554,1,-9.22,0.27,0.325,6.381
ligando_555,1,-8.01,-0.07,0.665,6.044
ligando_556,1,-0.97,-0.84,0.2778,6.424
ligando_557,1,-8.88,0.67,0.4635,6.421
ligando_558,1,-9.02,-0.73,0.2892,5.761
ligando_559,1,-6.59,-0.18,0.6109,6.427
ligando_560,1,-9.23,0.66,0.1897,6.272
ligando_561,1,-7.61,1.25,0.2742,6.238
ligando_562,1,-7.06,-0.38,0.5557,5.935
ligando_563,1,-8.42,-0.5,0.3366,5.486
ligando_564,1,-10.51,-0.32,0.7769,6.683
ligando_565,1,-7.14,0.27,0.6006,4.681
ligando_566,1,-8.0,1.09,0.1659,4.869
ligando_567,1,-9.58,-0.02,0.302,5.924
ligando_568,1,-2.47,0.59,0.2477,5.156
ligando_569,1,-6.01,-0.29,0.6271,4.894
ligando_570,1,-8.41,0.84,0.3131,5.979
ligando_571,1,-10.03,0.1,0.2876,6.252
ligando_572,1,-6.9,0.42,0.6563,4.863
ligando_573,1,-8.73,0.32,0.3111,5.282
ligando_574,1,-8.55,-0.7,0.7209,6.835
ligando_575,1,-9.95,-0.4,0.1749,5.928
ligando_576,1,-8.52,0.15,0.3032,6.751
ligando_577,1,-3.98,-0.57,0.4712,5.318
ligando_578,1,-8.93,-0.71,0.472,6.673
ligando_579,1,-2.14,-0.05,0.4251,6.492
ligando_580,1,-5.54,1.01,0.6309,6.259
ligando_581,1,-10.09,0.17,0.8091,7.096
ligando_582,1,-6.02,0.37,0.3934,4.576
ligando_583,1,-5.5,0.03,0.6139,6.116
ligando_584,1,-10.37,0.52,0.4856,6.515
ligando_585,1,-7.99,0.35,0.1835,5.625
ligando_586,1,-9.81,0.7,0.2423,6.301
ligando_587,1,-8.24,-0.55,0.4038,6.195
ligando_588,1,-8.15,1.73,0.2196,5.839
ligando_589,1,-2.48,-0.32,0.3586,6.557
ligando_590,1,-8.03,-0.6,0.2373,5.993
ligando_591,1,-9.05,-0.24,0.7867,5.77
ligando_592,1,-7.02,0.34,0.9767,5.619
ligando_593,1,-8.08,1.15,0.3377,5.322
ligando_594,2,-7.87,0.1,0.2246,5.527
ligando_595,1,-10.44,-0.03,0.3926,6.403
ligando_596,3,-9.88,-0.38,0.2404,6.159
ligando_597,1,-5.17,1.02,0.2899,5.698
ligando_598,1,-7.7,10.91,0.5129,7.418
ligando_599,1,-2.82,3.51,0.3826,4.804
ligando_600,1,-8.63,2.08,0.2861,6.185
ligando_601,1,-9.55,-0.3,0.6367,6.385
ligando_602,1,-9.07,-0.34,0.4693,6.047
ligando_603,1,-8.86,-0.31,0.6271,5.951
ligando_604,1,-7.86,0.56,0.2458,5.959
ligando_605,1,-8.57,-0.02,0.1786,4.911
ligando_606,2,-8.15,-0.45,0.1514,5.144
ligando_607,1,-11.99,0.06,0.7568,7.164
ligando_608,1,-9.41,0.25,0.2428,5.926
ligando_609,1,-8.55,0.14,0.6787,6.979
ligando_610,1,-10.97,1.48,0.2035,6.73
ligando_611,1,-9.12,0.74,0.4928,6.592
ligando_612,1,-10.57,1.31,0.4933,6.729
ligando_613,1,-8.47,-0.26,0.2319,5.899
ligando_614,1,-8.63,1.45,0.5784,7.289
ligando_615,1,-5.5,0.83,0.4301,5.78
ligando_616,1,-8.65,-0.29,0.2088,5.41
ligando_617,2,-8.49,-0.39,0.26,5.028
ligando_618,1,-8.81,-0.17,0.2478,5.799
ligando_619,1,-6.82,0.27,0.1849,4.371
ligando_620,1,-6.03,0.43,0.3306,5.597
ligando_621,1,-8.96,0.65,0.2061,6.145
ligando_622,1,-4.0,3.5,0.2261,5.133
ligando_623,1,-9.91,-1.01,0.1762,6.42
ligando_624,1,-5.03,-0.02,0.3199,4.612
ligando_625,1,-9.66,0.59,0.1839,6.267
ligando_626,1,-7.95,-0.45,0.2442,5.456
ligando_627,1,-9.91,-0.71,0.3394,6.698
ligando_628,2,-8.67,-0.82,0.3543,6.389
ligando_629,1,-9.04,0.55,0.4853,6.693
ligando_630,1,-8.35,0.08,0.3496,6.004
ligando_631,1,-8.27,-0.01,0.4213,5.824
ligando_632,1,-6.68,-0.17,0.2556,5.738
ligando_633,1,-10.0,0.0,0.5481,6.573
ligando_634,1,-6.6,-0.43,0.9716,5.018
ligando_635,1,-10.15,1.18,0.1857,5.845
ligando_636,1,-8.51,0.55,0.2029,6.148
ligando_637,1,-8.95,1.26,0.2392,5.065
ligando_638,1,-5.87,0.45,0.522,4.617
ligando_639,1,-6.79,-0.35,0.5972,5.25
ligando_640,1,-9.59,0.26,0.4647,7.117
ligando_641,1,-9.58,0.9,0.4906,6.775
ligando_642,1,-7.57,0.62,0.4512,5.751
ligando_643,1,-7.79,0.2,0.2419,7.131
ligando_644,1,-7.84,-0.56,0.8192,6.395
ligando_645,1,-9.88,0.63,0.1116,5.945
ligando_646,1,-8.58,-0.52,0.7881,6.961
ligando_647,1,-9.2,-0.76,0.3544,6.507
ligando_648,1,-7.77,0.17,0.1773,5.437
ligando_649,2,-4.37,-0.53,0.112,4.795
ligando_650,1,-9.61,-0.29,0.1294,5.528
ligando_651,1,-9.0,-0.35,0.4228,6.14
ligando_652,1,-8.26,-0.89,0.3323,5.703
ligando_653,1,-8.94,-0.15,0.2448,5.703
ligando_654,1,-9.29,0.24,0.265,5.366
ligando_655,1,-7.55,0.24,0.5744,6.344
ligando_656,1,-8.77,0.13,0.6922,6.8
ligando_657,1,-10.1,-0.77,0.2254,6.726
ligando_658,1,-8.48,0.06,0.6391,6.584
ligando_659,1,-8.8,1.02,0.1646,5.914
ligando_660,1,-10.8,1.77,0.3829,6.456
ligando_661,3,-8.88,1.61,0.1219,5.429
ligando_662,2,-1.36,-0.25,0.3281,4.755
ligando_663,1,-5.89,-0.24,0.5337,5.164
ligando_664,1,-4.85,-0.17,0.2965,5.128
ligando_665,1,-7.53,-0.35,0.1384,5.561
ligando_666,1,-6.5,0.41,0.2298,4.463
ligando_667,1,-8.43,-0.25,0.4495,5.946
ligando_668,1,-7.3,-0.46,0.4272,5.949
ligando_669,1,-8.43,-0.3,0.4774,6.621
ligando_670,1,-11.62,4.29,0.502,7.128
ligando_671,2,-2.5,-0.65,0.3646,6.199
ligando_672,1,-8.86,0.18,0.1379,6.062
ligando_673,1,-9.17,1.29,0.3727,6.993
ligando_674,3,-4.76,-0.47,0.2206,4.9
ligando_675,1,-8.37,-0.07,0.263,5.861
ligando_676,1,-6.93,0.01,0.6952,5.791
ligando_677,1,-8.82,-0.71,0.2356,6.003
ligando_678,1,-10.81,0.4,0.3649,6.443
ligando_679,1,-5.87,-0.16,0.0692,4.201
ligando_680,1,-9.49,0.92,0.1239,6.115
ligando_681,1,-8.61,-0.76,0.1036,5.332
ligando_682,1,-8.96,-0.53,0.4386,6.627
ligando_683,2,-2.45,-0.89,0.1723,5.093
ligando_684,1,-7.08,-0.75,0.5716,6.302
ligando_685,2,-6.27,0.29,0.139,6.096
ligando_686,2,-10.08,1.1,0.0642,5.033
ligando_687,1,-10.06,2.36,0.176,6.019
ligando_688,1,-10.87,0.77,0.6344,7.365
ligando_689,1,-8.38,-0.27,0.3273,5.09
ligando_690,1,-10.21,0.1,0.3641,6.529
ligando_691,1,-10.46,-0.53,0.5122,6.786
ligando_692,1,-6.78,-0.37,0.3311,5.443
ligando_693,1,-8.16,0.07,0.8161,6.046
ligando_694,1,-5.21,-0.6,0.2296,6.1
ligando_695,1,-9.0,-0.33,0.2883,6.646
ligando_696,1,-7.9,0.76,0.8763,5.877
ligando_697,1,-8.76,0.71,0.245,5.977
ligando_698,1,-9.37,-0.62,0.7246,6.528
ligando_699,1,-6.07,-0.11,0.1981,5.401
ligando_700,1,-8.25,-0.08,0.1419,5.342
ligando_701,1,-8.83,-0.14,0.8182,5.978
ligando_702,1,-7.92,2.34,0.1319,5.22
ligando_703,1,-7.79,0.19,0.3002,6.109
ligando_704,1,-9.15,-0.01,0.1065,5.547
ligando_705,1,-4.25,0.71,0.3826,5.611
ligando_706,1,-7.48,0.77,0.9344,5.88
ligando_707,1,-7.4,-0.29,0.6329,5.79
ligando_708,1,-9.71,0.75,0.2744,5.943
ligando_709,1,-9.88,-1.13,0.1146,6.149
ligando_710,1,-8.37,1.98,0.2236,6.573
ligando_711,1,-7.47,-0.45,0.4016,5.626
ligando_712,1,-8.76,1.76,0.0961,5.292
ligando_713,1,-7.28,-0.1,0.3968,6.059
ligando_714,1,-6.38,-0.92,0.4752,5.407
ligando_715,1,-4.4,1.02,0.4735,7.243
ligando_716,1,-9.12,1.1,0.1947,6.059
ligando_717,1,-7.05,0.64,0.1051,5.14
ligando_718,1,-8.69,-0.54,0.2463,5.79
ligando_719,1,-6.64,0.29,0.2557,5.687
ligando_720,2,-8.5,0.58,0.1731,6.383
ligando_721,1,-4.78,-0.62,0.2652,5.767
ligando_722,1,-2.74,0.55,0.3704,6.153
ligando_723,1,-8.73,0.17,0.5254,6.016
ligando_724,1,-8.57,-0.38,0.275,6.047
ligando_725,1,-8.15,0.26,0.68,6.17
ligando_726,1,-10.2,0.72,0.5064,6.667
ligando_727,1,-6.44,-0.62,0.3161,6.978
ligando_728,1,-9.26,0.28,0.1168,5.863
ligando_729,1,-9.87,1.09,0.1059,6.402
ligando_730,1,-9.24,0.37,0.3679,6.332
ligando_731,1,-7.57,0.54,0.3277,6.497
ligando_732,1,-10.23,-0.49,0.2523,6.31
ligando_733,2,-4.81,-1.12,0.3004,5.201
ligando_734,1,-7.13,-0.32,0.3345,5.754
ligando_735,1,-9.53,3.86,0.1185,5.784
ligando_736,1,-8.62,-0.04,0.2083,5.57
ligando_737,1,-10.29,-0.96,0.573,7.017
ligando_738,3,-9.79,-0.16,0.1829,6.033
ligando_739,1,-8.75,-0.87,0.0983,5.954
ligando_740,2,-8.6,0.68,0.3244,6.567
ligando_741,1,-9.86,-0.13,0.3245,6.354
ligando_742,1,-8.18,-0.53,0.4363,6.108
ligando_743,1,-5.58,-0.51,0.323,5.511
ligando_744,1,-9.5,-0.52,0.2975,5.94
ligando_745,1,-8.26,0.77,0.1575,5.761
ligando_746,1,-7.19,-0.27,0.4607,5.642
ligando_747,1,-8.0,-0.09,0.2737,5.152
ligando_748,1,-7.26,-0.71,0.4087,5.744
ligando_749,1,-8.3,-0.43,0.4468,5.719
ligando_750,1,-8.33,0.53,0.3677,5.9
ligando_751,1,-8.12,-0.51,0.2818,5.992
ligando_752,2,-2.16,-1.4,0.2296,6.259
ligando_753,1,-8.63,-0.13,0.5346,5.716
ligando_754,1,-5.58,-0.34,0.5087,4.783
ligando_755,1,-9.08,-0.7,0.4202,6.491
ligando_756,1,-9.07,-0.54,0.5874,6.856
ligando_757,1,-7.63,-0.45,0.5544,6.196
ligando_758,1,-8.7,0.04,0.3883,6.368
ligando_759,2,-8.43,-0.5,0.2103,5.696
ligando_760,1,-7.12,0.68,0.523,5.816
ligando_761,2,-8.09,-0.62,0.2864,5.817
ligando_762,1,-8.71,0.15,0.206,5.503
ligando_763,1,-6.8,0.93,0.3306,6.139
ligando_764,1,-8.77,0.58,0.4123,5.817
ligando_765,1,-6.99,0.3,0.9341,5.769
ligando_766,1,-8.24,1.85,0.531,6.595
ligando_767,1,-9.21,-0.19,0.5464,6.795
ligando_768,1,-8.44,0.2,0.1104,5.76
ligando_769,1,-7.31,-0.72,0.2651,5.866
ligando_770,1,-8.39,-0.32,0.7686,6.926
ligando_771,1,-9.49,-0.72,0.277,6.13
ligando_772,1,-7.75,0.19,0.1708,4.864
ligando_773,1,-8.12,-0.3,0.1708,5.377
ligando_774,1,-9.4,-0.24,0.2293,5.17
ligando_775,1,-10.32,0.98,0.2477,6.738
ligando_776,1,-5.75,-0.38,0.4686,5.369
ligando_777,1,-8.03,1.08,0.1265,5.829
ligando_778,1,-6.84,0.12,0.4891,6.164
ligando_779,1,-8.77,-0.35,0.9185,5.997
ligando_780,1,-6.98,0.29,0.7627,5.882
ligando_781,1,-7.9,-0.11,0.262,5.546
ligando_782,1,-7.8,-0.49,0.5916,5.773
ligando_783,1,-6.53,0.09,0.9631,5.272
ligando_784,1,-6.12,0.71,0.4387,6.826
ligando_785,1,-8.0,-0.14,0.6027,6.249
ligando_786,1,-8.92,0.8,0.2872,5.454
ligando_787,1,-11.27,-0.07,0.2514,5.868
ligando_788,1,-8.88,-0.06,0.2186,5.636
ligando_789,1,-9.61,-0.8,0.4872,6.906
ligando_790,1,-7.95,-0.38,0.746,4.888
ligando_791,1,-4.12,-0.34,0.2687,6.537
ligando_792,1,-7.77,-0.37,0.7145,5.467
ligando_793,1,-9.05,0.97,0.7203,6.513
ligando_794,1,-8.55,0.62,0.3478,5.806
ligando_795,1,-6.85,0.16,0.3009,5.298
ligando_796,1,-8.31,0.57,0.3975,6.362
ligando_797,1,-8.07,-0.22,0.1903,5.556
ligando_798,1,-7.83,-0.46,0.5212,5.863
ligando_799,1,-8.32,0.56,0.5605,5.854
ligando_800,1,-7.13,0.53,0.9125,5.099
ligando_801,1,-5.97,-0.3,0.9233,4.639
ligando_802,1,-8.16,0.29,0.1675,5.215
ligando_803,1,-9.32,-0.41,0.1606,5.742
ligando_804,1,-6.97,0.3,0.9193,5.422
ligando_805,1,-9.08,-0.71,0.3256,5.846
ligando_806,1,-5.77,0.29,0.8262,4.131
ligando_807,1,-6.46,-0.45,0.9649,4.883
ligando_808,1,-8.27,-0.75,0.2906,6.29
ligando_809,1,-7.71,0.3,0.3949,5.022
ligando_810,1,-8.2,-0.88,0.2334,6.015
ligando_811,1,-7.23,0.35,0.3315,5.324
ligando_812,1,-7.57,-0.85,0.8685,6.469
ligando_813,1,-7.34,1.05,0.2449,5.147
ligando_814,1,-6.52,-1.12,0.3859,5.094
ligando_815,1,-7.15,-0.73,0.4964,5.966
ligando_816,1,-8.07,-0.3,0.6969,6.382
ligando_817,1,-8.36,-0.15,0.6729,5.793
ligando_818,1,-11.3,-0.33,0.4742,7.03
ligando_819,1,-6.31,0.1,0.3645,5.173
ligando_820,1,-8.62,-0.78,0.3432,7.056
ligando_821,1,-7.78,-0.09,0.5507,6.254
ligando_822,1,-6.82,0.97,0.8361,5.246
ligando_823,1,-7.21,-1.01,0.6685,5.819
ligando_824,2,-3.57,0.57,0.2087,6.741
ligando_825,1,-6.82,-0.16,0.7059,5.54
ligando_826,1,-7.4,-0.08,0.7252,5.42
ligando_827,4,-9.01,-0.34,0.2898,6.465
ligando_828,1,-6.83,-0.31,0.674,5.552
ligando_829,1,-10.22,-0.43,0.1437,4.923
ligando_830,1,-8.14,-0.25,0.5605,5.706
ligando_831,1,-6.77,-1.33,0.29,6.316
ligando_832,1,-7.62,-0.39,0.1242,6.447
ligando_833,1,-8.53,0.68,0.4858,5.839
ligando_834,1,-8.22,-0.18,0.8822,6.201
ligando_835,1,-7.79,0.04,0.7284,5.583
ligando_836,1,-8.52,-0.67,0.1214,6.354
ligando_837,1,-5.89,0.37,0.3415,6.096
ligando_838,1,-8.75,0.05,0.6221,5.86
ligando_839,1,-7.09,-0.35,0.593,4.536
ligando_840,1,-5.44,0.08,0.8028,5.514
ligando_841,1,-9.21,1.15,0.6921,6.516
ligando_842,1,-7.55,0.54,0.8407,6.355
ligando_843,2,-9.0,-0.45,0.1547,5.792
ligando_844,2,-4.49,-0.08,0.2452,5.718
ligando_845,1,-9.01,-0.34,0.4592,6.044
ligando_846,1,-6.81,-0.25,0.5563,5.557
ligando_847,1,-7.68,-0.24,0.7715,5.926
ligando_848,1,-8.43,0.28,0.6102,6.266
ligando_849,1,-8.08,0.53,0.5955,6.217
ligando_850,1,-4.37,0.92,0.3008,6.632
ligando_851,1,-9.56,-0.66,0.6838,6.526
ligando_852,1,-8.56,0.04,0.2502,6.723
ligando_853,1,-9.55,-0.39,0.1841,6.075
ligando_854,1,-5.96,1.51,0.1768,6.543
ligando_855,1,-10.08,0.73,0.2118,5.803
