Ligando,Pose,Affinity,CNNscore,CNNaffinity
ligando_015,6,-6.65,0.1332,4.801
ligando_015,7,-8.41,0.1131,4.314
ligando_015,8,-5.93,0.1086,4.655
ligando_015,9,-8.28,0.1063,5.023
ligando_015,10,-8.41,0.0926,4.786
ligando_016,1,-10.77,0.244,5.995
ligando_016,2,-9.71,0.1889,5.706
ligando_016,3,-7.51,0.185,6.162
ligando_016,4,-9.92,0.1847,5.946
ligando_016,5,-8.65,0.1642,6.526
ligando_016,6,-9.52,0.1539,5.899
ligando_016,7,-9.99,0.1481,6.187
ligando_016,8,-11.07,0.1434,5.624
ligando_016,9,-10.01,0.1215,5.64
ligando_016,10,-9.36,0.1113,6.306
ligando_017,1,-10.22,0.1437,4.923
ligando_017,2,-10.29,0.1296,5.145
ligando_017,3,-8.83,0.119,5.522
ligando_017,4,-7.22,0.1138,5.45
ligando_017,5,-6.92,0.1045,5.683
ligando_017,6,-6.98,0.1029,5.883
ligando_017,7,-7.79,0.098,4.915
ligando_017,8,-7.64,0.0604,5.713
ligando_017,9,-9.45,0.0601,4.884
ligando_017,10,-8.49,0.0529,5.116
ligando_018,1,-8.07,0.6969,6.382
ligando_018,2,-7.6,0.5827,6.13
ligando_018,3,-8.13,0.2795,5.816
ligando_018,4,-8.44,0.2635,5.518
ligando_018,5,-9.22,0.1814,4.776
ligando_018,6,-9.33,0.1467,4.816
ligando_018,7,-7.81,0.0915,5.32
ligando_018,8,-7.69,0.0915,5.118
ligando_018,9,-8.05,0.083,4.868
ligando_018,10,-8.03,0.0778,4.95
ligando_019,1,-8.0,0.2737,5.152
ligando_019,2,-8.1,0.1741,4.64
ligando_019,3,-7.74,0.1529,5.054
ligando_019,4,-7.59,0.1235,5.213
ligando_019,5,-7.69,0.1182,5.121
ligando_019,6,-7.49,0.0969,4.53
ligando_019,7,-7.67,0.0774,5.301
ligando_019,8,-9.08,0.0655,4.892
ligando_019,9,-7.42,0.0607,5.049
ligando_019,10,-8.55,0.0497,4.875
ligando_020,1,-8.08,0.5955,6.217
ligando_020,2,-8.51,0.5938,6.288
ligando_020,3,-7.99,0.5184,6.071
ligando_020,4,-7.39,0.515,5.444
ligando_020,5,-7.36,0.3516,6.204
ligando_020,6,-8.09,0.3144,5.752
ligando_020,7,-7.01,0.2673,5.617
ligando_020,8,-8.7,0.2051,5.248
ligando_020,9,-8.61,0.1856,4.827
ligando_020,10,-7.66,0.1774,5.719
ligando_021,1,-8.93,0.472,6.673
ligando_021,2,-9.56,0.199,6.277
ligando_021,3,-9.32,0.1842,6.185
ligando_021,4,-10.54,0.1558,6.261
ligando_021,5,-10.32,0.1118,5.658
ligando_021,6,-7.53,0.0752,4.97
ligando_021,7,-8.74,0.0685,5.042
ligando_021,8,-9.64,0.0648,5.499
ligando_021,9,-8.67,0.062,5.085
ligando_021,10,-8.42,0.0566,4.962
ligando_022,1,20.48,0.2626,5.866
ligando_022,2,-0.75,0.1219,5.446
ligando_022,3,-9.75,0.1143,5.998
ligando_022,4,-7.82,0.0987,6.318
ligando_022,5,-7.8,0.0879,6.273
ligando_022,6,3.56,0.0866,5.649
ligando_022,7,-4.34,0.085,4.964
ligando_022,8,-0.54,0.082,4.792
ligando_022,9,-4.84,0.0788,5.057
ligando_022,10,-7.41,0.0769,6.049
ligando_023,1,-6.82,0.8361,5.246
ligando_023,2,-7.6,0.7204,5.191
ligando_023,3,-7.03,0.659,5.412
ligando_023,4,-7.36,0.5486,4.987
ligando_023,5,-6.74,0.4683,4.736
ligando_023,6,-7.21,0.4145,4.442
ligando_023,7,-6.62,0.255,4.269
ligando_023,8,-8.16,0.2546,5.164
ligando_023,9,-6.56,0.2213,4.448
ligando_023,10,-7.01,0.1802,4.279
ligando_024,1,-7.54,0.2605,5.743
ligando_024,2,-7.79,0.196,5.796
ligando_024,3,-8.29,0.1782,6.047
ligando_024,4,-3.69,0.1673,6.026
ligando_024,5,-6.28,0.1509,5.6
ligando_024,6,-7.59,0.1435,5.79
ligando_024,7,-7.47,0.1247,5.717
ligando_024,8,-6.79,0.1035,5.632
ligando_024,9,-7.86,0.1033,5.23
ligando_024,10,-8.63,0.1001,5.633
ligando_025,1,-10.26,0.1826,5.562
ligando_025,2,-11.09,0.1724,5.025
ligando_025,3,-9.49,0.1642,6.019
ligando_025,4,-10.76,0.158,5.352
ligando_025,5,-10.14,0.1532,5.373
ligando_025,6,-9.49,0.1417,5.3
ligando_025,7,-9.39,0.1337,4.993
ligando_025,8,-9.16,0.1237,5.31
ligando_025,9,-8.82,0.1177,5.938
ligando_025,10,-8.92,0.1021,5.241
ligando_026,1,-10.32,0.2477,6.738
ligando_026,2,-9.73,0.2116,6.673
ligando_026,3,-10.09,0.1947,6.283
ligando_026,4,-10.33,0.1583,6.438
ligando_026,5,-9.45,0.1044,6.141
ligando_026,6,-9.43,0.066,5.896
ligando_026,7,-6.96,0.0499,5.231
ligando_026,8,-8.53,0.0496,5.428
ligando_026,9,-7.49,0.0469,5.676
ligando_026,10,-8.92,0.0364,5.553
ligando_027,1,-4.12,0.2687,6.537
ligando_027,2,-5.64,0.2548,4.816
ligando_027,3,-3.04,0.2016,5.37
ligando_027,4,-3.68,0.1274,4.963
ligando_027,5,-3.75,0.1047,5.537
ligando_027,6,-7.54,0.0854,4.403
ligando_027,7,-11.66,0.0757,5.001
ligando_027,8,-10.1,0.0719,5.767
ligando_027,9,-8.33,0.062,5.335
ligando_027,10,-8.64,0.059,5.519
ligando_028,1,-5.96,0.1768,6.543
ligando_028,2,-6.95,0.1669,6.585
ligando_028,3,-9.17,0.1397,6.537
ligando_028,4,-9.68,0.1282,6.423
ligando_028,5,-7.46,0.1082,6.591
ligando_028,6,-6.87,0.0885,6.272
ligando_028,7,-9.54,0.0786,5.943
ligando_028,8,-5.72,0.0757,5.899
ligando_028,9,-6.59,0.0668,6.228
ligando_028,10,-7.98,0.0658,5.991
ligando_029,1,-9.81,0.2423,6.301
ligando_029,2,-10.16,0.1827,6.033
ligando_029,3,-7.47,0.1503,5.455
ligando_029,4,-9.49,0.083,5.533
ligando_029,5,-8.34,0.0787,5.078
ligando_029,6,-9.69,0.0766,5.158
ligando_029,7,-9.12,0.076,5.512
ligando_029,8,-9.25,0.0734,5.197
ligando_029,9,-8.24,0.0733,5.239
ligando_029,10,-8.93,0.064,5.742
ligando_030,1,-8.63,0.5346,5.716
ligando_030,2,-8.55,0.3818,5.272
ligando_030,3,-8.04,0.3255,5.258
ligando_030,4,-8.86,0.2636,4.161
ligando_030,5,-7.89,0.247,4.846
ligando_030,6,-8.17,0.1908,5.13
ligando_030,7,-7.83,0.1891,4.893
ligando_030,8,-7.2,0.188,5.157
ligando_030,9,-7.77,0.173,4.741
ligando_030,10,-6.99,0.1723,5.051
ligando_031,1,-7.31,0.2651,5.866
ligando_031,2,-7.76,0.2559,5.682
ligando_031,3,-6.69,0.1917,5.553
ligando_031,4,-8.13,0.1767,4.544
ligando_031,5,-6.65,0.1357,4.778
ligando_031,6,-7.98,0.1299,5.149
ligando_031,7,-6.2,0.1272,4.911
ligando_031,8,-7.09,0.1256,4.873
ligando_031,9,-6.51,0.1172,5.273
ligando_031,10,-6.9,0.1118,5.604
ligando_032,1,-2.35,0.2766,5.671
ligando_032,2,24.38,0.1196,6.023
ligando_032,3,-7.75,0.1061,6.07
ligando_032,4,-10.07,0.0989,5.594
ligando_032,5,-10.13,0.0959,5.719
ligando_032,6,0.4,0.0915,5.433
ligando_032,7,-9.86,0.0821,5.508
ligando_032,8,-7.75,0.0749,6.089
ligando_032,9,-6.33,0.0732,4.532
ligando_032,10,-8.2,0.0692,5.598
ligando_033,1,-8.3,0.2284,6.658
ligando_033,2,-10.08,0.161,5.452
ligando_033,3,-6.76,0.1331,5.563
ligando_033,4,-8.42,0.1163,5.326
ligando_033,5,-9.69,0.1045,5.518
ligando_033,6,-7.52,0.0784,5.319
ligando_033,7,-9.79,0.0769,5.937
ligando_033,8,-10.42,0.0728,5.859
ligando_033,9,-10.77,0.0715,5.96
ligando_033,10,-10.41,0.0616,5.475
ligando_034,1,-8.45,0.3589,5.203
ligando_034,2,-8.96,0.3488,5.297
ligando_034,3,-8.38,0.3122,5.3
ligando_034,4,-8.34,0.2667,5.402
ligando_034,5,-8.72,0.2391,5.406
ligando_034,6,-7.42,0.211,4.679
ligando_034,7,-8.55,0.2072,4.91
ligando_034,8,-8.16,0.1962,4.694
ligando_034,9,-8.47,0.196,4.756
ligando_034,10,-7.36,0.1777,4.918
ligando_035,1,-11.99,0.7568,7.164
ligando_035,2,-11.91,0.7163,7.158
ligando_035,3,-6.41,0.6532,5.816
ligando_035,4,-10.79,0.6478,7.169
ligando_035,5,-11.92,0.6166,6.987
ligando_035,6,-10.01,0.4981,6.62
ligando_035,7,-9.79,0.4553,6.496
ligando_035,8,2.64,0.3775,6.022
ligando_035,9,-1.61,0.3476,6.14
ligando_035,10,-11.49,0.3451,6.588
ligando_036,1,-9.31,0.4604,6.424
ligando_036,2,-9.83,0.291,6.038
ligando_036,3,-7.43,0.2858,5.666
ligando_036,4,-9.62,0.2847,5.853
ligando_036,5,-8.63,0.2803,6.091
ligando_036,6,-7.59,0.2684,5.7
ligando_036,7,-9.29,0.2267,5.949
ligando_036,8,-8.46,0.1793,5.784
ligando_036,9,-9.05,0.1548,5.555
ligando_036,10,-9.19,0.1435,5.716
ligando_037,1,-9.29,0.265,5.366
ligando_037,2,-8.98,0.1853,5.265
ligando_037,3,-8.62,0.1653,5.325
ligando_037,4,-8.44,0.1632,5.401
ligando_037,5,-8.95,0.1592,5.389
ligando_037,6,-8.48,0.1171,5.552
ligando_037,7,-8.47,0.0997,5.09
ligando_037,8,-8.26,0.0883,4.858
ligando_037,9,-8.78,0.0777,5.116
ligando_037,10,-9.02,0.0747,4.802
ligando_038,1,-9.05,0.7203,6.513
ligando_038,2,-8.87,0.2654,5.934
ligando_038,3,-8.01,0.2507,6.11
ligando_038,4,-8.71,0.1842,5.951
ligando_038,5,-8.53,0.1836,6.186
ligando_038,6,-10.15,0.1353,5.546
ligando_038,7,-8.14,0.129,6.186
ligando_038,8,-9.38,0.1246,5.85
ligando_038,9,-8.71,0.122,5.705
ligando_038,10,-7.64,0.1186,5.454
ligando_039,1,-8.71,0.206,5.503
ligando_039,2,-7.99,0.1731,5.804
ligando_039,3,-8.46,0.1715,5.906
ligando_039,4,-9.73,0.1684,5.194
ligando_039,5,-9.43,0.1525,5.02
ligando_039,6,-8.27,0.1507,5.844
ligando_039,7,-9.37,0.1155,5.484
ligando_039,8,-7.02,0.0955,5.009
ligando_039,9,-8.1,0.0858,5.281
ligando_039,10,-8.73,0.0775,4.788
ligando_040,1,-9.91,0.1762,6.42
ligando_040,2,-10.69,0.1456,6.376
ligando_040,3,-9.98,0.1235,6.477
ligando_040,4,-6.75,0.0916,5.435
ligando_040,5,-9.49,0.0814,4.991
ligando_040,6,-9.6,0.071,5.917
ligando_040,7,-10.51,0.0704,5.611
ligando_040,8,-11.14,0.0647,5.696
ligando_040,9,-9.43,0.053,5.501
ligando_040,10,-5.26,0.0527,5.316
ligando_041,1,-9.0,0.2883,6.646
ligando_041,2,-8.46,0.2387,6.531
ligando_041,3,-6.62,0.2347,5.801
ligando_041,4,-0.41,0.1903,5.6
ligando_041,5,-6.38,0.1765,6.175
ligando_041,6,-6.99,0.175,6.666
ligando_041,7,-6.78,0.1537,5.981
ligando_041,8,-8.15,0.1433,6.634
ligando_041,9,-6.38,0.1184,5.877
ligando_041,10,-5.82,0.1127,5.315
ligando_042,1,-7.11,0.5552,5.288
ligando_042,2,-6.69,0.3639,4.86
ligando_042,3,-5.98,0.3189,5.16
ligando_042,4,-6.15,0.2422,4.465
ligando_042,5,-6.99,0.1989,4.691
ligando_042,6,-6.12,0.1629,4.614
ligando_042,7,-6.37,0.1263,3.92
ligando_042,8,-6.36,0.1034,4.43
ligando_042,9,-6.93,0.1014,4.12
ligando_042,10,-5.87,0.093,4.091
ligando_043,1,-6.85,0.3009,5.298
ligando_043,2,-9.31,0.1779,5.341
ligando_043,3,-9.39,0.1646,4.753
ligando_043,4,-7.99,0.1304,5.468
ligando_043,5,-9.16,0.1159,4.533
ligando_043,6,-6.77,0.1138,5.019
ligando_043,7,-9.33,0.0906,4.714
ligando_043,8,-8.51,0.0861,5.08
ligando_043,9,-8.63,0.0837,4.97
ligando_043,10,-8.78,0.0796,4.523
ligando_044,1,-8.66,0.8003,6.885
ligando_044,2,-8.94,0.7304,6.748
ligando_044,3,-8.1,0.6037,6.827
ligando_044,4,-8.25,0.5828,6.915
ligando_044,5,-9.62,0.5504,6.335
ligando_044,6,-9.35,0.5327,6.503
ligando_044,7,-9.51,0.5256,6.616
