Ligando,Pose,Affinity,CNNscore,CNNaffinity
ligando_064,6,-9.42,0.1172,6.493
ligando_064,7,-7.64,0.1101,6.014
ligando_064,8,-7.56,0.0911,5.901
ligando_064,9,-9.13,0.0904,5.652
ligando_064,10,-9.78,0.0868,5.92
ligando_065,1,-4.0,0.2261,5.133
ligando_065,2,-2.91,0.1451,5.81
ligando_065,3,6.57,0.1341,5.224
ligando_065,4,-8.7,0.1095,5.347
ligando_065,5,-8.38,0.0743,5.16
ligando_065,6,-9.66,0.074,4.947
ligando_065,7,-9.19,0.0709,4.725
ligando_065,8,-8.43,0.0655,5.115
ligando_065,9,-9.27,0.0641,5.238
ligando_065,10,-8.48,0.0622,4.789
ligando_066,1,-6.79,0.5972,5.25
ligando_066,2,-5.94,0.2647,4.536
ligando_066,3,-6.7,0.2608,4.574
ligando_066,4,-6.22,0.2492,4.654
ligando_066,5,-5.81,0.2269,4.321
ligando_066,6,-6.7,0.1865,4.195
ligando_066,7,-6.44,0.1646,4.359
ligando_066,8,-6.27,0.1634,4.105
ligando_066,9,-6.56,0.1314,3.719
ligando_066,10,-7.1,0.1272,3.671
ligando_067,1,-9.5,0.4625,6.832
ligando_067,2,103.82,0.3539,4.73
ligando_067,3,17.81,0.273,5.055
ligando_067,4,-7.86,0.2559,6.767
ligando_067,5,0.56,0.25,5.492
ligando_067,6,-1.9,0.1386,5.345
ligando_067,7,-7.68,0.1207,5.254
ligando_067,8,-9.21,0.1152,5.874
ligando_067,9,-8.97,0.1144,5.657
ligando_067,10,-2.23,0.1012,5.436
ligando_068,1,-6.98,0.7627,5.882
ligando_068,2,-6.6,0.5387,4.979
ligando_068,3,-6.79,0.4651,5.25
ligando_068,4,-6.7,0.3591,5.043
ligando_068,5,-7.12,0.2534,4.545
ligando_068,6,-7.15,0.2292,4.945
ligando_068,7,-6.24,0.2271,4.547
ligando_068,8,-6.34,0.1751,4.581
ligando_068,9,-7.15,0.1632,4.136
ligando_068,10,-5.95,0.0824,4.172
ligando_069,1,-8.73,0.3111,5.282
ligando_069,2,-7.72,0.2883,5.731
ligando_069,3,-8.41,0.273,5.437
ligando_069,4,-8.67,0.2457,5.541
ligando_069,5,-7.26,0.1981,5.562
ligando_069,6,-8.96,0.1457,4.642
ligando_069,7,-7.29,0.1389,5.337
ligando_069,8,-6.77,0.1373,5.355
ligando_069,9,-8.97,0.0951,4.731
ligando_069,10,-7.42,0.0801,5.379
ligando_070,1,-8.03,0.2373,5.993
ligando_070,2,-8.83,0.2054,5.786
ligando_070,3,-8.42,0.185,5.802
ligando_070,4,-8.96,0.1671,5.422
ligando_070,5,-8.34,0.1187,5.162
ligando_070,6,-8.55,0.1047,4.688
ligando_070,7,-7.25,0.1026,5.255
ligando_070,8,-8.52,0.0945,4.758
ligando_070,9,-7.87,0.0901,5.173
ligando_070,10,-8.33,0.0844,4.872
ligando_071,1,-9.91,0.3394,6.698
ligando_071,2,-9.24,0.2663,6.437
ligando_071,3,-10.31,0.1934,6.622
ligando_071,4,-10.29,0.174,6.602
ligando_071,5,-9.79,0.1491,6.407
ligando_071,6,-10.82,0.1188,6.258
ligando_071,7,-10.94,0.1156,6.427
ligando_071,8,-10.15,0.0891,5.591
ligando_071,9,-10.09,0.0844,6.16
ligando_071,10,-10.4,0.0734,6.268
ligando_072,1,-4.37,0.3008,6.632
ligando_072,2,-6.56,0.2889,5.744
ligando_072,3,1.73,0.2694,6.428
ligando_072,4,13.29,0.2655,5.958
ligando_072,5,2.06,0.2617,5.252
ligando_072,6,7.29,0.2073,6.417
ligando_072,7,28.31,0.195,6.164
ligando_072,8,1.2,0.1779,6.222
ligando_072,9,11.23,0.1744,6.366
ligando_072,10,-7.23,0.159,5.653
ligando_073,1,-8.43,0.4495,5.946
ligando_073,2,-7.98,0.2575,6.151
ligando_073,3,-8.59,0.2073,5.732
ligando_073,4,-8.02,0.1391,5.474
ligando_073,5,-7.14,0.1348,5.509
ligando_073,6,-6.64,0.1299,5.136
ligando_073,7,-7.66,0.1073,5.28
ligando_073,8,-7.61,0.088,4.454
ligando_073,9,-6.87,0.0838,5.652
ligando_073,10,-8.03,0.0777,5.276
ligando_074,1,-8.3,0.3225,7.154
ligando_074,2,-8.37,0.1686,6.481
ligando_074,3,-7.73,0.165,6.523
ligando_074,4,-8.75,0.1394,6.335
ligando_074,5,-8.22,0.1039,6.089
ligando_074,6,-10.05,0.0903,6.105
ligando_074,7,-8.61,0.0901,5.944
ligando_074,8,-7.43,0.0878,6.283
ligando_074,9,-8.23,0.0856,6.135
ligando_074,10,-8.65,0.0843,5.636
ligando_075,1,-9.25,0.3367,7.068
ligando_075,2,-9.59,0.2387,6.905
ligando_075,3,-10.06,0.1881,6.178
ligando_075,4,-10.23,0.1823,6.345
ligando_075,5,-9.53,0.1784,6.879
ligando_075,6,-9.79,0.1603,6.244
ligando_075,7,-9.43,0.1487,6.071
ligando_075,8,-9.93,0.1234,4.874
ligando_075,9,-10.11,0.1118,6.035
ligando_075,10,-10.08,0.1074,6.251
ligando_076,1,-9.87,0.1059,6.402
ligando_076,2,-8.63,0.0666,5.787
ligando_076,3,-8.71,0.0623,6.201
ligando_076,4,-8.62,0.0569,5.921
ligando_076,5,-9.35,0.0517,5.764
ligando_076,6,-8.62,0.0439,5.931
ligando_076,7,-7.95,0.041,5.576
ligando_076,8,-8.74,0.0399,5.954
ligando_076,9,-9.81,0.0386,4.835
ligando_076,10,-8.48,0.0354,5.728
ligando_077,1,-10.46,0.5122,6.786
ligando_077,2,-10.64,0.4407,6.766
ligando_077,3,-9.06,0.1566,6.642
ligando_077,4,-10.36,0.1258,5.887
ligando_077,5,-9.89,0.0973,5.975
ligando_077,6,-10.53,0.0823,5.458
ligando_077,7,-9.86,0.0777,4.989
ligando_077,8,-10.04,0.0633,5.635
ligando_077,9,-10.12,0.0598,5.554
ligando_077,10,-9.81,0.0566,4.949
ligando_078,1,-8.86,0.1319,5.287
ligando_078,2,-9.75,0.0812,4.859
ligando_078,3,-9.44,0.0783,4.726
ligando_078,4,-9.73,0.0696,5.182
ligando_078,5,-9.07,0.068,5.052
ligando_078,6,-7.11,0.0556,5.126
ligando_078,7,-7.37,0.0471,4.838
ligando_078,8,-8.14,0.0386,5.168
ligando_078,9,-9.41,0.0362,4.724
ligando_078,10,-8.33,0.0332,4.714
ligando_079,1,-9.74,0.4123,6.44
ligando_079,2,-9.72,0.1603,5.231
ligando_079,3,-8.92,0.16,5.245
ligando_079,4,-8.45,0.1566,5.416
ligando_079,5,-9.53,0.1533,4.659
ligando_079,6,-9.36,0.1215,4.596
ligando_079,7,-9.26,0.1192,4.874
ligando_079,8,-8.98,0.1129,4.604
ligando_079,9,-9.31,0.106,5.947
ligando_079,10,-8.83,0.1024,5.658
ligando_080,1,-8.26,0.3323,5.703
ligando_080,2,-9.84,0.2737,5.664
ligando_080,3,-8.94,0.1535,5.231
ligando_080,4,-9.29,0.135,4.655
ligando_080,5,-9.37,0.1112,4.813
ligando_080,6,-9.35,0.103,4.63
ligando_080,7,-9.53,0.0961,4.433
ligando_080,8,-9.44,0.0956,4.056
ligando_080,9,-8.21,0.0937,4.73
ligando_080,10,-7.96,0.091,4.755
ligando_081,1,-1.1,0.2365,5.447
ligando_081,2,-8.43,0.1737,5.32
ligando_081,3,-9.65,0.1405,4.964
ligando_081,4,-8.51,0.1231,5.958
ligando_081,5,-1.51,0.1223,5.165
ligando_081,6,-7.99,0.1164,5.408
ligando_081,7,-7.23,0.1078,5.296
ligando_081,8,-11.05,0.1071,5.438
ligando_081,9,-4.2,0.1036,5.254
ligando_081,10,-7.18,0.1025,5.23
ligando_082,1,-5.15,0.1788,6.18
ligando_082,2,-9.51,0.1665,6.043
ligando_082,3,-9.33,0.127,5.773
ligando_082,4,-10.42,0.1113,4.849
ligando_082,5,-4.51,0.1086,5.541
ligando_082,6,-10.49,0.0935,4.86
ligando_082,7,-8.33,0.0831,5.353
ligando_082,8,-9.0,0.0828,5.315
ligando_082,9,-8.05,0.0821,5.785
ligando_082,10,-8.76,0.0756,5.68
ligando_083,1,-11.15,0.6767,7.197
ligando_083,2,-10.63,0.6057,7.414
ligando_083,3,-10.67,0.4498,7.289
ligando_083,4,-12.09,0.3677,7.15
ligando_083,5,-12.1,0.2828,6.866
ligando_083,6,1.73,0.1216,6.394
ligando_083,7,-12.51,0.0976,6.58
ligando_083,8,-10.39,0.0749,5.861
ligando_083,9,-10.18,0.0616,4.977
ligando_083,10,-11.98,0.0522,5.415
ligando_084,1,-6.22,0.783,4.815
ligando_084,2,-6.42,0.6255,4.522
ligando_084,3,-6.52,0.4661,4.544
ligando_084,4,-6.26,0.4215,4.342
ligando_084,5,-5.83,0.365,4.467
ligando_084,6,-5.68,0.3127,4.353
ligando_084,7,-6.53,0.2962,4.38
ligando_084,8,-6.48,0.2757,4.301
ligando_084,9,-6.42,0.2252,4.855
ligando_084,10,-7.07,0.2226,3.982
ligando_085,1,-6.91,0.7921,5.398
ligando_085,2,-6.54,0.6825,5.467
ligando_085,3,-6.9,0.6805,4.843
ligando_085,4,-7.53,0.6014,5.133
ligando_085,5,-7.46,0.4693,4.903
ligando_085,6,-6.43,0.4092,4.824
ligando_085,7,-6.25,0.3293,4.7
ligando_085,8,-6.81,0.2613,4.358
ligando_085,9,-6.61,0.2044,4.244
ligando_085,10,-6.18,0.1985,4.305
ligando_086,1,-1.75,0.708,5.29
ligando_086,2,-4.44,0.3239,4.848
ligando_086,3,-9.06,0.315,5.478
ligando_086,4,-9.33,0.2544,5.462
ligando_086,5,-5.54,0.2395,4.599
ligando_086,6,-7.64,0.2328,5.821
ligando_086,7,-8.02,0.2327,5.509
ligando_086,8,-7.45,0.2013,5.492
ligando_086,9,0.64,0.1549,4.967
ligando_086,10,-1.79,0.1515,4.964
ligando_087,1,-6.38,0.4752,5.407
ligando_087,2,-6.96,0.3782,5.173
ligando_087,3,-6.33,0.1506,4.803
ligando_087,4,-7.03,0.1401,4.416
ligando_087,5,-6.03,0.1333,5.199
ligando_087,6,-7.17,0.113,4.759
ligando_087,7,-6.85,0.0945,3.816
ligando_087,8,-6.1,0.0871,4.429
ligando_087,9,-6.52,0.0805,4.66
ligando_087,10,-6.59,0.0762,4.561
ligando_088,1,-6.84,0.4891,6.164
ligando_088,2,-7.55,0.4885,6.117
ligando_088,3,-6.68,0.3535,5.887
ligando_088,4,-6.42,0.3391,5.865
ligando_088,5,102.09,0.1876,4.449
ligando_088,6,-0.77,0.1837,4.947
ligando_088,7,-7.25,0.181,5.642
ligando_088,8,-6.77,0.1676,5.471
ligando_088,9,-7.95,0.118,4.968
ligando_088,10,-4.94,0.1142,4.815
ligando_089,1,-9.04,0.2571,6.35
ligando_089,2,-9.43,0.2404,6.128
ligando_089,3,-8.94,0.2223,6.089
ligando_089,4,-8.47,0.1632,6.329
ligando_089,5,-9.3,0.1415,6.073
ligando_089,6,-8.19,0.1352,5.629
ligando_089,7,-7.64,0.1289,5.3
ligando_089,8,-8.88,0.1256,5.202
ligando_089,9,-8.79,0.1141,6.014
ligando_089,10,-8.66,0.1094,5.91
ligando_090,1,-11.38,0.4139,7.123
ligando_090,2,-11.55,0.384,7.007
ligando_090,3,-11.32,0.283,6.864
ligando_090,4,-6.23,0.1238,6.485
ligando_090,5,-4.53,0.0489,4.534
ligando_090,6,-7.94,0.0481,5.409
ligando_090,7,-6.07,0.0432,4.593
ligando_090,8,-6.62,0.0385,5.689
ligando_090,9,-6.69,0.034,5.613
ligando_090,10,-8.6,0.0322,4.833
ligando_091,1,-8.23,0.2003,5.676
ligando_091,2,-9.42,0.0773,5.177
ligando_091,3,-7.55,0.0449,5.035
ligando_091,4,-7.64,0.0386,4.855
ligando_091,5,-8.08,0.0277,4.524
ligando_091,6,-8.09,0.0268,4.892
ligando_091,7,-8.99,0.0229,4.957
ligando_091,8,-0.91,0.0221,4.15
ligando_091,9,-6.79,0.0214,4.482
ligando_091,10,-7.33,0.0207,3.927
ligando_092,1,-7.36,0.1917,5.706
ligando_092,2,-7.85,0.1713,5.521
ligando_092,3,-8.02,0.1586,5.315
ligando_092,4,-8.43,0.1385,5.92
ligando_092,5,-7.68,0.1291,5.576
ligando_092,6,-8.45,0.1264,5.643
ligando_092,7,-7.98,0.1201,5.347
ligando_092,8,-8.48,0.1193,5.773
ligando_092,9,-7.27,0.1179,5.068
ligando_092,10,-7.44,0.1052,4.711
ligando_093,1,-5.89,0.5337,5.164
ligando_093,2,-6.12,0.3499,5.003
ligando_093,3,-5.77,0.3301,4.819
ligando_093,4,-6.03,0.3139,5.062
ligando_093,5,-5.58,0.2977,4.805
ligando_093,6,-6.24,0.2375,4.282
ligando_093,7,-5.47,0.2084,4.659
ligando_093,8,-5.6,0.1548,4.402
ligando_093,9,-5.57,0.1469,4.041
ligando_093,10,-5.96,0.1322,4.327
ligando_094,1,-8.55,0.7209,6.835
ligando_094,2,-9.38,0.5949,6.763
ligando_094,3,-9.48,0.4283,6.472
ligando_094,4,-9.49,0.2763,6.215
ligando_094,5,-9.73,0.2112,5.31
ligando_094,6,-8.99,0.1959,5.72
ligando_094,7,-8.2,0.1851,5.184
ligando_094,8,-9.34,0.1718,6.19
ligando_094,9,-8.85,0.1673,5.866
ligando_094,10,-9.61,0.1662,5.85
ligando_095,1,-2.48,0.3586,6.557
ligando_095,2,-6.9,0.3024,6.023
ligando_095,3,-7.98,0.2911,6.395
ligando_095,4,-8.44,0.1664,6.097
ligando_095,5,-5.84,0.1637,6.169
ligando_095,6,-8.79,0.1593,5.754
ligando_095,7,-7.9,0.1458,5.806
ligando_095,8,-4.43,0.1392,5.933
ligando_095,9,79.67,0.1381,4.943
ligando_095,10,-7.76,0.1103,6.28
ligando_096,1,-6.12,0.4387,6.826
ligando_096,2,-7.27,0.1961,6.602
ligando_096,3,-8.24,0.1902,7.185
ligando_096,4,-8.28,0.1661,6.261
ligando_096,5,-7.07,0.1365,6.128
ligando_096,6,-8.65,0.1245,5.477
ligando_096,7,-6.66,0.1217,5.837
ligando_096,8,-8.69,0.1213,6.04
ligando_096,9,-6.64,0.1174,5.848
ligando_096,10,-8.59,0.0976,5.061
ligando_097,1,-10.87,0.6344,7.365
ligando_097,2,-10.57,0.4913,7.147
ligando_097,3,-10.5,0.477,7.35
ligando_097,4,-9.49,0.178,6.845
ligando_097,5,-9.74,0.1489,6.743
ligando_097,6,-7.9,0.1468,6.771
ligando_097,7,-10.14,0.1352,6.409
ligando_097,8,-9.14,0.1008,6.582
ligando_097,9,-9.43,0.0831,5.735
ligando_097,10,-9.9,0.0749,6.46
ligando_098,1,-9.84,0.1968,6.496
ligando_098,2,9.06,0.1035,5.655
ligando_098,3,-10.37,0.0806,6.231
ligando_098,4,-10.06,0.0775,6.061
ligando_098,5,-9.69,0.0703,6.258
ligando_098,6,-9.17,0.0619,5.295
ligando_098,7,-10.58,0.0574,5.896
ligando_098,8,-3.78,0.0482,5.321
ligando_098,9,6.01,0.0465,5.62
ligando_098,10,-9.48,0.0432,6.36
ligando_099,1,-8.44,0.1104,5.76
ligando_099,2,-7.68,0.0755,5.582
ligando_099,3,-8.07,0.0753,4.792
ligando_099,4,-9.08,0.0686,5.04
ligando_099,5,-8.17,0.0672,4.975
ligando_099,6,-7.4,0.0653,5.153
ligando_099,7,-6.95,0.0652,5.036
ligando_099,8,-9.48,0.0641,5.535
ligando_099,9,-8.37,0.0589,4.9
ligando_099,10,-8.66,0.0569,5.14
ligando_100,1,-11.83,0.1984,6.621
ligando_100,2,-7.65,0.0799,6.618
ligando_100,3,-9.88,0.0632,5.981
ligando_100,4,-10.87,0.0519,6.91
ligando_100,5,-11.07,0.0503,5.589
ligando_100,6,-8.42,0.0503,6.401
ligando_100,7,-9.91,0.0409,5.75
ligando_100,8,-10.61,0.0383,5.311
ligando_100,9,-8.21,0.0364,6.6
ligando_100,10,-10.89,0.0318,5.991
ligando_101,1,-7.89,0.5801,6.223
ligando_101,2,-7.26,0.1777,5.359
ligando_101,3,-7.47,0.1714,5.614
ligando_101,4,-6.96,0.1349,5.481
ligando_101,5,-7.16,0.1335,5.246
ligando_101,6,-7.09,0.1098,4.893
ligando_101,7,-7.11,0.1036,5.396
ligando_101,8,-6.96,0.1018,4.934
ligando_101,9,-7.29,0.0853,5.28
ligando_101,10,-6.59,0.07,4.805
ligando_102,1,21.86,0.5803,6.233
ligando_102,2,-10.18,0.2783,6.307
ligando_102,3,-9.76,0.1805,5.908
ligando_102,4,7.62,0.0922,5.185
ligando_102,5,17.74,0.0909,4.845
ligando_102,6,-9.51,0.0306,5.164
ligando_102,7,-9.49,0.0285,5.585
ligando_102,8,-2.73,0.0252,4.949
ligando_102,9,-5.84,0.0225,4.227
ligando_102,10,-7.98,0.0211,4.769
ligando_103,1,-9.08,0.3553,6.582
ligando_103,2,-10.62,0.2847,6.428
ligando_103,3,-7.77,0.1967,5.779
ligando_103,4,-10.25,0.1688,6.307
ligando_103,5,-9.59,0.1559,6.283
ligando_103,6,-8.43,0.1551,6.125
ligando_103,7,-8.12,0.1212,4.672
ligando_103,8,-7.46,0.12,6.182
ligando_103,9,-9.58,0.093,5.615
ligando_103,10,-8.8,0.089,4.798
ligando_104,1,11.53,0.3733,6.017
ligando_104,2,-9.64,0.2637,6.726
ligando_104,3,-9.06,0.2586,6.564
ligando_104,4,-8.32,0.2375,6.79
ligando_104,5,-5.62,0.1576,6.483
ligando_104,6,-7.84,0.1083,6.241
ligando_104,7,-6.02,0.0854,6.206
ligando_104,8,-8.76,0.085,6.205
ligando_104,9,-7.56,0.0841,6.232
ligando_104,10,-6.64,0.0834,6.15
ligando_105,1,-7.81,0.1944,5.188
ligando_105,2,-8.83,0.1755,5.168
ligando_105,3,-8.08,0.1282,4.942
ligando_105,4,-8.3,0.1274,5.197
ligando_105,5,-8.08,0.1109,4.888
ligando_105,6,-8.24,0.1097,4.006
ligando_105,7,-8.21,0.1072,4.464
ligando_105,8,-8.7,0.1067,4.646
ligando_105,9,-7.85,0.1053,4.453
ligando_105,10,-8.02,0.1005,3.965
ligando_106,1,-7.8,0.2335,5.721
ligando_106,2,-8.57,0.2099,5.091
ligando_106,3,-9.29,0.1746,5.838
ligando_106,4,-8.37,0.1689,5.243
ligando_106,5,-8.87,0.1546,4.684
ligando_106,6,-8.32,0.1471,5.023
ligando_106,7,-8.14,0.1426,4.701
ligando_106,8,-7.58,0.1288,4.838
ligando_106,9,-7.93,0.1221,5.375
ligando_106,10,-7.79,0.1174,5.028
ligando_107,1,-7.54,0.3423,5.502
ligando_107,2,-9.41,0.2757,5.53
ligando_107,3,-9.75,0.2709,6.046
ligando_107,4,6.35,0.2092,5.41
ligando_107,5,-10.3,0.1985,5.09
ligando_107,6,-8.74,0.1872,5.811
ligando_107,7,-10.02,0.1738,4.985
ligando_107,8,-9.42,0.1492,5.588
ligando_107,9,-3.4,0.1344,4.88
ligando_107,10,-8.1,0.1135,4.979
ligando_108,1,-9.02,0.2892,5.761
ligando_108,2,-9.56,0.272,5.886
ligando_108,3,-8.99,0.1947,5.436
ligando_108,4,-9.61,0.1767,5.845
ligando_108,5,-10.32,0.1706,5.727
ligando_108,6,-10.26,0.1123,5.565
ligando_108,7,-10.21,0.1049,5.579
ligando_108,8,-8.14,0.0696,5.467
ligando_108,9,-8.93,0.0603,4.842
ligando_108,10,-7.87,0.0504,4.737
ligando_109,1,-8.63,0.2861,6.185
ligando_109,2,-5.73,0.1207,5.856
ligando_109,3,-7.21,0.1197,5.958
ligando_109,4,-8.79,0.1187,5.953
ligando_109,5,-6.83,0.0825,5.82
ligando_109,6,-9.16,0.0682,5.826
ligando_109,7,-9.67,0.068,6.065
ligando_109,8,-4.13,0.049,5.168
ligando_109,9,-11.27,0.0479,5.864
ligando_109,10,-11.3,0.0474,5.851
ligando_110,1,-7.79,0.2419,7.131
ligando_110,2,-9.09,0.2111,6.658
ligando_110,3,-11.51,0.1424,6.504
ligando_110,4,-11.04,0.1335,6.705
ligando_110,5,-6.98,0.072,5.399
ligando_110,6,1.86,0.0669,5.94
ligando_110,7,2.27,0.0604,5.672
ligando_110,8,-8.8,0.0515,5.864
ligando_110,9,1.83,0.0495,5.49
ligando_110,10,-11.46,0.0467,6.087
ligando_111,1,-7.55,0.5744,6.344
ligando_111,2,-7.32,0.3999,6.376
ligando_111,3,-7.26,0.2188,5.75
ligando_111,4,-7.34,0.1453,5.582
ligando_111,5,-7.64,0.113,5.701
ligando_111,6,-7.95,0.1048,4.877
ligando_111,7,-7.75,0.1015,4.647
ligando_111,8,-8.04,0.0964,5.223
ligando_111,9,-6.88,0.0961,5.933
ligando_111,10,-8.42,0.0934,4.732
ligando_112,1,-8.48,0.6391,6.584
ligando_112,2,-10.11,0.4613,6.514
ligando_112,3,-8.63,0.1482,6.287
ligando_112,4,-9.14,0.103,6.224
ligando_112,5,-8.03,0.0621,5.742
ligando_112,6,-8.1,0.0578,4.89
ligando_112,7,-9.91,0.0568,5.799
ligando_112,8,-9.95,0.0513,5.635
ligando_112,9,-9.68,0.0505,5.947
ligando_112,10,-8.49,0.0462,5.386
ligando_113,1,-10.8,0.3829,6.456
ligando_113,2,-9.13,0.2858,6.358
ligando_113,3,-9.97,0.2506,6.534
ligando_113,4,-10.3,0.1462,6.062
ligando_113,5,-9.55,0.1306,6.246
ligando_113,6,-10.11,0.1164,5.596
ligando_113,7,-7.64,0.1122,6.224
ligando_113,8,-9.55,0.1086,5.581
ligando_113,9,-10.05,0.0928,5.491
ligando_113,10,-5.29,0.0869,5.851
ligando_114,1,-8.43,0.4774,6.621
ligando_114,2,-8.47,0.3157,6.305
ligando_114,3,-7.0,0.2483,5.92
ligando_114,4,-8.24,0.1994,5.618
ligando_114,5,-6.88,0.175,6.337
ligando_114,6,-9.07,0.1542,5.517
ligando_114,7,-6.45,0.1392,5.839
ligando_114,8,-7.25,0.1318,6.205
ligando_114,9,-6.71,0.1248,5.719
ligando_114,10,-8.57,0.1181,5.5
ligando_115,1,5.79,0.2915,5.531
ligando_115,2,1.83,0.2312,5.8
ligando_115,3,-9.79,0.1829,6.033
ligando_115,4,-1.89,0.1488,4.814
ligando_115,5,-9.63,0.1406,6.15
ligando_115,6,-7.3,0.1153,5.739
ligando_115,7,-8.67,0.0979,6.114
ligando_115,8,-8.82,0.0818,5.345
ligando_115,9,-5.72,0.0497,4.773
ligando_115,10,-8.49,0.044,5.0
ligando_116,1,-5.58,0.5087,4.783
ligando_116,2,-5.53,0.4682,4.141
ligando_116,3,-5.26,0.3143,4.371
ligando_116,4,-5.58,0.2865,3.886
ligando_116,5,-5.7,0.2634,3.771
ligando_116,6,-5.38,0.2457,3.723
ligando_116,7,-5.59,0.227,4.294
ligando_116,8,-5.51,0.2091,4.148
ligando_116,9,-5.67,0.1447,3.476
ligando_116,10,-5.28,0.1281,3.956
ligando_117,1,-7.21,0.6685,5.819
ligando_117,2,-7.53,0.4813,5.724
ligando_117,3,-6.99,0.187,5.202
ligando_117,4,-7.05,0.1844,5.053
ligando_117,5,-6.91,0.1717,5.545
ligando_117,6,-8.17,0.1645,5.095
ligando_117,7,-8.15,0.1445,5.055
ligando_117,8,-7.26,0.1278,5.034
ligando_117,9,-7.53,0.0612,4.655
ligando_117,10,-7.19,0.0571,4.223
